team_fbref,team_sheet
Blackburn,Blackburn Rovers
Bristol City,Bristol City
Burnley,Burnley
Cardiff City,Cardiff City
Coventry City,Coventry City
Derby County,Derby County
Hull City,Hull City
Leeds United,Leeds United
Luton Town,Luton Town
Middlesbrough,Middlesbrough
Millwall,Millwall
Norwich City,Norwich City
Oxford United,Oxford United
Plymouth Argyle,Plymouth Argyle
Portsmouth,Portsmouth
Preston,Preston North End
QPR,Queens Park Rangers
Sheffield Utd,Sheffield United
Sheffield Weds,Sheffield Wednesday
Stoke City,Stoke City
Sunderland,Sunderland
Swansea City,Swansea City
Watford,Watford
West Brom,West Bromwich Albion
